"","Rank","Title","Link","NA.","Rating","VoteCount","Description","MetaScore"
"46","46"," Casablanca","https://imdb.com/title/tt0034583/?ref_=chttp_t_46","https://imdb.com/title/tt0034583/?ref_=chttp_t_46","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"47","47"," The Intouchables","https://imdb.com/title/tt1675434/?ref_=chttp_t_47","https://imdb.com/title/tt1675434/?ref_=chttp_t_47","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"48","48"," Modern Times","https://imdb.com/title/tt0027977/?ref_=chttp_t_48","https://imdb.com/title/tt0027977/?ref_=chttp_t_48","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"49","49"," Cinema Paradiso","https://imdb.com/title/tt0095765/?ref_=chttp_t_49","https://imdb.com/title/tt0095765/?ref_=chttp_t_49","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"50","50"," Once Upon a Time in the West","https://imdb.com/title/tt0064116/?ref_=chttp_t_50","https://imdb.com/title/tt0064116/?ref_=chttp_t_50","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"51","51"," Rear Window","https://imdb.com/title/tt0047396/?ref_=chttp_t_51","https://imdb.com/title/tt0047396/?ref_=chttp_t_51","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"52","52"," Alien","https://imdb.com/title/tt0078748/?ref_=chttp_t_52","https://imdb.com/title/tt0078748/?ref_=chttp_t_52","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"53","53"," City Lights","https://imdb.com/title/tt0021749/?ref_=chttp_t_53","https://imdb.com/title/tt0021749/?ref_=chttp_t_53","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"54","54"," Apocalypse Now","https://imdb.com/title/tt0078788/?ref_=chttp_t_54","https://imdb.com/title/tt0078788/?ref_=chttp_t_54","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"55","55"," Django Unchained","https://imdb.com/title/tt1853728/?ref_=chttp_t_55","https://imdb.com/title/tt1853728/?ref_=chttp_t_55","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"56","56"," Memento","https://imdb.com/title/tt0209144/?ref_=chttp_t_56","https://imdb.com/title/tt0209144/?ref_=chttp_t_56","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"57","57"," Raiders of the Lost Ark","https://imdb.com/title/tt0082971/?ref_=chttp_t_57","https://imdb.com/title/tt0082971/?ref_=chttp_t_57","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"58","58"," WALL·E","https://imdb.com/title/tt0910970/?ref_=chttp_t_58","https://imdb.com/title/tt0910970/?ref_=chttp_t_58","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"59","59"," The Lives of Others","https://imdb.com/title/tt0405094/?ref_=chttp_t_59","https://imdb.com/title/tt0405094/?ref_=chttp_t_59","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"60","60"," Sunset Blvd","https://imdb.com/title/tt0043014/?ref_=chttp_t_60","https://imdb.com/title/tt0043014/?ref_=chttp_t_60","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"61","61"," Paths of Glory","https://imdb.com/title/tt0050825/?ref_=chttp_t_61","https://imdb.com/title/tt0050825/?ref_=chttp_t_61","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"62","62"," Avengers: Infinity War","https://imdb.com/title/tt4154756/?ref_=chttp_t_62","https://imdb.com/title/tt4154756/?ref_=chttp_t_62","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"63","63"," The Shining","https://imdb.com/title/tt0081505/?ref_=chttp_t_63","https://imdb.com/title/tt0081505/?ref_=chttp_t_63","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"64","64"," Spider-Man: Into the Spider-Verse","https://imdb.com/title/tt4633694/?ref_=chttp_t_64","https://imdb.com/title/tt4633694/?ref_=chttp_t_64","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"65","65"," Witness for the Prosecution","https://imdb.com/title/tt0051201/?ref_=chttp_t_65","https://imdb.com/title/tt0051201/?ref_=chttp_t_65","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"66","66"," The Great Dictator","https://imdb.com/title/tt0032553/?ref_=chttp_t_66","https://imdb.com/title/tt0032553/?ref_=chttp_t_66","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"67","67"," Oppenheimer","https://imdb.com/title/tt15398776/?ref_=chttp_t_67","https://imdb.com/title/tt15398776/?ref_=chttp_t_67","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"68","68"," Aliens","https://imdb.com/title/tt0090605/?ref_=chttp_t_68","https://imdb.com/title/tt0090605/?ref_=chttp_t_68","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"69","69"," Inglourious Basterds","https://imdb.com/title/tt0361748/?ref_=chttp_t_69","https://imdb.com/title/tt0361748/?ref_=chttp_t_69","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"70","70"," The Dark Knight Rises","https://imdb.com/title/tt1345836/?ref_=chttp_t_70","https://imdb.com/title/tt1345836/?ref_=chttp_t_70","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"71","71"," American Beauty","https://imdb.com/title/tt0169547/?ref_=chttp_t_71","https://imdb.com/title/tt0169547/?ref_=chttp_t_71","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"72","72"," Dr","https://imdb.com/title/tt0057012/?ref_=chttp_t_72","https://imdb.com/title/tt0057012/?ref_=chttp_t_72","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"73","73"," Oldboy","https://imdb.com/title/tt0364569/?ref_=chttp_t_73","https://imdb.com/title/tt0364569/?ref_=chttp_t_73","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"74","74"," Coco","https://imdb.com/title/tt2380307/?ref_=chttp_t_74","https://imdb.com/title/tt2380307/?ref_=chttp_t_74","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"75","75"," Amadeus","https://imdb.com/title/tt0086879/?ref_=chttp_t_75","https://imdb.com/title/tt0086879/?ref_=chttp_t_75","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"76","76"," Toy Story","https://imdb.com/title/tt0114709/?ref_=chttp_t_76","https://imdb.com/title/tt0114709/?ref_=chttp_t_76","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"77","77"," Das Boot","https://imdb.com/title/tt0082096/?ref_=chttp_t_77","https://imdb.com/title/tt0082096/?ref_=chttp_t_77","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"78","78"," Braveheart","https://imdb.com/title/tt0112573/?ref_=chttp_t_78","https://imdb.com/title/tt0112573/?ref_=chttp_t_78","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"79","79"," Avengers: Endgame","https://imdb.com/title/tt4154796/?ref_=chttp_t_79","https://imdb.com/title/tt4154796/?ref_=chttp_t_79","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"80","80"," Joker","https://imdb.com/title/tt7286456/?ref_=chttp_t_80","https://imdb.com/title/tt7286456/?ref_=chttp_t_80","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"81","81"," Princess Mononoke","https://imdb.com/title/tt0119698/?ref_=chttp_t_81","https://imdb.com/title/tt0119698/?ref_=chttp_t_81","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"82","82"," Good Will Hunting","https://imdb.com/title/tt0119217/?ref_=chttp_t_82","https://imdb.com/title/tt0119217/?ref_=chttp_t_82","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"83","83"," Your Name","https://imdb.com/title/tt5311514/?ref_=chttp_t_83","https://imdb.com/title/tt5311514/?ref_=chttp_t_83","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"84","84"," Once Upon a Time in America","https://imdb.com/title/tt0087843/?ref_=chttp_t_84","https://imdb.com/title/tt0087843/?ref_=chttp_t_84","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"85","85"," 3 Idiots","https://imdb.com/title/tt1187043/?ref_=chttp_t_85","https://imdb.com/title/tt1187043/?ref_=chttp_t_85","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"86","86"," High and Low","https://imdb.com/title/tt0057565/?ref_=chttp_t_86","https://imdb.com/title/tt0057565/?ref_=chttp_t_86","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"87","87"," Singin' in the Rain","https://imdb.com/title/tt0045152/?ref_=chttp_t_87","https://imdb.com/title/tt0045152/?ref_=chttp_t_87","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"88","88"," Capernaum","https://imdb.com/title/tt8267604/?ref_=chttp_t_88","https://imdb.com/title/tt8267604/?ref_=chttp_t_88","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"89","89"," Requiem for a Dream","https://imdb.com/title/tt0180093/?ref_=chttp_t_89","https://imdb.com/title/tt0180093/?ref_=chttp_t_89","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"90","90"," Come and See","https://imdb.com/title/tt0091251/?ref_=chttp_t_90","https://imdb.com/title/tt0091251/?ref_=chttp_t_90","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"91","91"," Toy Story 3","https://imdb.com/title/tt0435761/?ref_=chttp_t_91","https://imdb.com/title/tt0435761/?ref_=chttp_t_91","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"92","92"," Star Wars: Episode VI - Return of the Jedi","https://imdb.com/title/tt0086190/?ref_=chttp_t_92","https://imdb.com/title/tt0086190/?ref_=chttp_t_92","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"93","93"," Eternal Sunshine of the Spotless Mind","https://imdb.com/title/tt0338013/?ref_=chttp_t_93","https://imdb.com/title/tt0338013/?ref_=chttp_t_93","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"94","94"," 2001: A Space Odyssey","https://imdb.com/title/tt0062622/?ref_=chttp_t_94","https://imdb.com/title/tt0062622/?ref_=chttp_t_94","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"95","95"," The Hunt","https://imdb.com/title/tt2106476/?ref_=chttp_t_95","https://imdb.com/title/tt2106476/?ref_=chttp_t_95","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"96","96"," Reservoir Dogs","https://imdb.com/title/tt0105236/?ref_=chttp_t_96","https://imdb.com/title/tt0105236/?ref_=chttp_t_96","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"97","97"," Ikiru","https://imdb.com/title/tt0044741/?ref_=chttp_t_97","https://imdb.com/title/tt0044741/?ref_=chttp_t_97","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"98","98"," Lawrence of Arabia","https://imdb.com/title/tt0056172/?ref_=chttp_t_98","https://imdb.com/title/tt0056172/?ref_=chttp_t_98","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"99","99"," The Apartment","https://imdb.com/title/tt0053604/?ref_=chttp_t_99","https://imdb.com/title/tt0053604/?ref_=chttp_t_99","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"100","100"," Citizen Kane","https://imdb.com/title/tt0033467/?ref_=chttp_t_100","https://imdb.com/title/tt0033467/?ref_=chttp_t_100","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"101","101"," M","https://imdb.com/title/tt0022100/?ref_=chttp_t_101","https://imdb.com/title/tt0022100/?ref_=chttp_t_101","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
