"","Rank","Title","Link","NA.","Rating","VoteCount","Description","MetaScore"
"102","102"," North by Northwest","https://imdb.com/title/tt0053125/?ref_=chttp_t_102","https://imdb.com/title/tt0053125/?ref_=chttp_t_102","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"103","103"," Vertigo","https://imdb.com/title/tt0052357/?ref_=chttp_t_103","https://imdb.com/title/tt0052357/?ref_=chttp_t_103","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"104","104"," Double Indemnity","https://imdb.com/title/tt0036775/?ref_=chttp_t_104","https://imdb.com/title/tt0036775/?ref_=chttp_t_104","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"105","105"," Scarface","https://imdb.com/title/tt0086250/?ref_=chttp_t_105","https://imdb.com/title/tt0086250/?ref_=chttp_t_105","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"106","106"," Amélie","https://imdb.com/title/tt0211915/?ref_=chttp_t_106","https://imdb.com/title/tt0211915/?ref_=chttp_t_106","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"107","107"," Full Metal Jacket","https://imdb.com/title/tt0093058/?ref_=chttp_t_107","https://imdb.com/title/tt0093058/?ref_=chttp_t_107","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"108","108"," Incendies","https://imdb.com/title/tt1255953/?ref_=chttp_t_108","https://imdb.com/title/tt1255953/?ref_=chttp_t_108","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"109","109"," A Clockwork Orange","https://imdb.com/title/tt0066921/?ref_=chttp_t_109","https://imdb.com/title/tt0066921/?ref_=chttp_t_109","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"110","110"," Heat","https://imdb.com/title/tt0113277/?ref_=chttp_t_110","https://imdb.com/title/tt0113277/?ref_=chttp_t_110","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"111","111"," Up","https://imdb.com/title/tt1049413/?ref_=chttp_t_111","https://imdb.com/title/tt1049413/?ref_=chttp_t_111","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"112","112"," To Kill a Mockingbird","https://imdb.com/title/tt0056592/?ref_=chttp_t_112","https://imdb.com/title/tt0056592/?ref_=chttp_t_112","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"113","113"," The Sting","https://imdb.com/title/tt0070735/?ref_=chttp_t_113","https://imdb.com/title/tt0070735/?ref_=chttp_t_113","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"114","114"," A Separation","https://imdb.com/title/tt1832382/?ref_=chttp_t_114","https://imdb.com/title/tt1832382/?ref_=chttp_t_114","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"115","115"," Hamilton","https://imdb.com/title/tt8503618/?ref_=chttp_t_115","https://imdb.com/title/tt8503618/?ref_=chttp_t_115","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"116","116"," Indiana Jones and the Last Crusade","https://imdb.com/title/tt0097576/?ref_=chttp_t_116","https://imdb.com/title/tt0097576/?ref_=chttp_t_116","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"117","117"," Die Hard","https://imdb.com/title/tt0095016/?ref_=chttp_t_117","https://imdb.com/title/tt0095016/?ref_=chttp_t_117","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"118","118"," Metropolis","https://imdb.com/title/tt0017136/?ref_=chttp_t_118","https://imdb.com/title/tt0017136/?ref_=chttp_t_118","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"119","119"," Like Stars on Earth","https://imdb.com/title/tt0986264/?ref_=chttp_t_119","https://imdb.com/title/tt0986264/?ref_=chttp_t_119","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"120","120"," Snatch","https://imdb.com/title/tt0208092/?ref_=chttp_t_120","https://imdb.com/title/tt0208092/?ref_=chttp_t_120","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"121","121"," Bicycle Thieves","https://imdb.com/title/tt0040522/?ref_=chttp_t_121","https://imdb.com/title/tt0040522/?ref_=chttp_t_121","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
